代码,类别,名称,最新净值,净值日期,昨日估值,今日估值,价格,成交量,成交额,折溢价,申购,赎回,费率,指数名称/代码,现价
SZ160119,中证500,500ETF联接LOF,2.3174,2026-04-20,2.3173,2.3122,2.3010,,,,,-0.48%,开放申购/不限额,开放赎回,0.120%,中证500|SH000905,8273.3935
SZ161017,中证500,500增强LOF,2.7510,2026-04-20,2.7509,2.7448,2.7200,,,,,-0.39%,开放申购/不限额,开放赎回,0.150%,中证500|SH000905,8273.3935
SH502000,中证500,500增强LOF,2.1676,2026-04-20,2.1742,2.1627,2.1550,,,,,-0.73%,开放申购/不限额,开放赎回,0.100%,中证500|SH000905,8273.3935
SZ165511,中证500,中信保诚500LOF,2.2913,2026-04-20,2.2918,2.2862,2.2790,,,,,-0.31%,开放申购/不限额,开放赎回,0.120%,中证500|SH000905,8273.3935
SH501036,中证500,中证500LOF,1.5650,2026-04-20,1.5652,1.5615,1.5550,,,,,-0.48%,开放申购/不限额,开放赎回,0.080%,中证500|SH000905,8273.3935
SZ162711,中证500,中证500LOF,1.9465,2026-04-20,1.9467,1.9421,1.9290,,,,,-0.68%,开放申购/不限额,开放赎回,0.120%,中证500|SH000905,8273.3935
SH501037,中证500,中证500LOFC,1.5348,2026-04-20,1.5350,1.5314,1.5170,,,,,-0.94%,开放申购/不限额,开放赎回,0.000%,中证500|SH000905,8273.3935
SZ162216,中证500,宏利500增强LOF,1.6908,2026-04-20,1.6929,1.6870,1.6780,,,,,-0.53%,限大额/100.00万,开放赎回,0.120%,中证500|SH000905,8273.3935
SZ160616,中证500,鹏华500LOF,2.3961,2026-04-20,2.3963,2.3907,2.3840,,,,,-0.28%,开放申购/不限额,开放赎回,0.120%,中证500|SH000905,8273.3935
SZ161024,军工,军工LOF,1.3770,2026-04-20,1.3776,1.3702,1.3630,,,,,-0.45%,开放申购/不限额,开放赎回,0.120%,中证军工|SZ399967,14497.0150
SZ161226,其他,国投白银LOF,2.1302,2026-04-24,2.1315,2.1329,2.6630,83.20万手,2.22亿,24.85%,暂停申购,开放赎回,0.100%,白银连续|AG0,18864.0000
SH501046,其他,财通福鑫定开混合,6.5288,2026-04-24,6.6583,6.5281,6.8380,1.71万手,1182.19万,4.75%,暂停申购,暂停赎回,0.150%,沪深300|SH000300,4768.4697
SH501220,其他,行业轮动FOF,1.3291,2026-04-24,1.3352,1.3289,1.3400,574手,7.68万,0.84%,开放申购/不限额,开放赎回,0.100%,沪深300|SH000300,4768.4697
SZ160324,其他,华夏磐晟LOF,2.3042,2026-04-24,2.2445,2.3040,2.3220,2519手,57.95万,0.78%,开放申购/不限额,开放赎回,0.120%,沪深300|SH000300,4768.4697
SZ167302,其他,大湾区LOF,1.0393,2026-04-24,1.0392,1.0431,1.0490,11手,1144,0.56%,开放申购/不限额,开放赎回,0.100%,恒生沪深港通大湾区综合指数|HSSCBBAI,4930.7700
SZ160625,其他,证保LOF,0.8329,2026-04-24,0.8329,0.8318,0.8360,382手,3.20万,0.50%,开放申购/不限额,开放赎回,0.120%,800非银|SZ399966,5706.9420
SZ161029,银行,银行龙头LOF,1.7550,2026-04-24,1.7551,1.7486,1.7550,42手,7371,0.37%,开放申购/不限额,开放赎回,0.120%,中证银行|SZ399986,7317.0180
SH501032,其他,财通福盛混合LOF,1.8120,2026-04-24,1.8574,1.8118,1.8180,871手,15.81万,0.34%,开放申购/不限额,开放赎回,0.150%,沪深300|SH000300,4768.4697
